mode,draw,fold,seed,best_epoch,n_test,pearson,spearman,decile_spread,r2_vs_zero,directional_accuracy
shift,0,5,0,4,21560,0.03931227423098944,0.03654544447434033,0.0013636160801979713,-0.0031122631567916947,0.5021799628942486
shift,1,5,0,5,21560,-0.009784252783060304,0.007621342699694489,-0.0009531741088721901,-0.009681544127927655,0.513126159554731
shift,2,5,0,5,21560,0.04807625852185538,0.040563578901062845,0.0027126639615744352,-0.002883128381752087,0.509090909090909
shift,3,5,0,5,21560,0.002231501293901565,0.005973864967879835,-0.00034183023672085255,-0.023492919193018214,0.5044990723562152
