model,scope,n,top_decile_net_bps,pearson,spearman,r2_vs_zero,rmse_vs_zero_ratio,calibration_slope,directional_accuracy,decile_spread,decile_spearman,pred_corr,resid_pearson,combo_pearson
patchtst,pooled,109240,10.818943737640337,0.05956834832835736,0.07732542015684123,0.002022072172527034,0.9989884522993612,0.6024424751448281,0.5226839985353351,0.0038419377914172157,0.9878787878787878,,,
gbm_lags,pooled,109240,8.533194346496966,0.06045218127316253,0.06727288339538912,0.0009891843040946702,0.9995052854767227,0.5416307327618635,0.525759794946906,0.002626145346348664,0.8909090909090909,,,
gbm_last,pooled,109240,8.950559716096663,0.06736135817004896,0.06394879019760706,0.0024902882973607543,0.9987540796926133,0.6008032816054566,0.5232790186744782,0.00248537813543633,0.6606060606060605,,,
momentum_ols,pooled,109240,-3.9782631027314888,0.011965011558413705,0.03337242734177454,7.38777249450484e-05,0.9999630604552624,0.5844764926964107,0.5105822043207616,0.00018399354512004852,0.29696969696969694,,,
momentum_raw,pooled,109240,-5.857036643006703,-0.014041710315777545,-0.03619463377674623,-0.9870525765095459,1.4096285242962223,-0.01433439149099104,0.4803122098314839,-0.00034714418478382807,-0.3939393939393939,,,
ridge_lags,pooled,109240,0.6706880194493124,0.04126454253927511,0.04046679693081128,0.0009742069515913387,0.9995127778314834,0.6024277369812914,0.5104357378249725,0.0023457825150681676,0.9030303030303028,,,
ridge_last,pooled,109240,-1.469812208049543,0.03452132154830405,0.03432661053027087,0.0011879725979941913,0.9994058371862782,0.8789540626804724,0.5081471988282681,0.0011906516290681967,0.8787878787878788,,,
patchtst,fold1,21800,5.555108037768766,0.04185978053375733,0.06986714363401637,-0.0024415812190601294,1.0012200463529783,0.4028887069313992,0.5226146788990825,0.002108089058906068,0.9393939393939393,,,
patchtst,fold2,21800,-2.7462478318599315,0.0396198971406359,0.06744374747621301,-0.004738265541146758,1.002366333004629,0.3282791375532223,0.5195871559633027,0.0028455835188284555,0.7454545454545454,,,
patchtst,fold3,22040,4.846135906618745,0.026919579276097436,0.030428717604404416,-0.0065716812515401735,1.0032804599171359,0.24101519866714088,0.5021324863883847,0.001595864614012312,0.5393939393939393,,,
patchtst,fold4,22040,41.08388286050261,0.10157385145434715,0.11878455071240464,0.011497371270941414,0.9942346949936209,1.1702505625175548,0.5423321234119782,0.007843588638463878,0.9393939393939393,,,
patchtst,fold5,21560,-4.797512195311974,0.08069782397083616,0.0983118786159258,0.004816225520640982,0.997588980732726,1.0138442617354726,0.526808905380334,0.006011275178168671,0.9151515151515152,,,
gbm_lags,fold1,21800,35.200183943397825,0.10052768844267355,0.11025218577536018,0.010402750432159102,0.9947850268112407,0.9745806978327397,0.541559633027523,0.006210456690898956,0.8545454545454544,,,
gbm_lags,fold2,21800,-17.897688117249412,0.028509601923535837,0.06394805936798764,-0.010769377810952774,1.005370269010852,0.21968066196239877,0.5252752293577981,0.0011220905978032098,0.23636363636363633,,,
gbm_lags,fold3,22040,5.682181119445397,0.07537641703873732,0.04115197465746234,0.0032408909750444304,0.9983782394588513,0.6241201579606289,0.51497277676951,0.0015367171796117026,-0.04242424242424241,,,
gbm_lags,fold4,22040,26.800957060774582,0.05581003960892089,0.06930209188836726,0.0016815265871135132,0.9991588829675121,0.5384109296554722,0.5265880217785844,0.0022677730652744662,0.5757575757575757,,,
gbm_lags,fold5,21560,3.6856744100518113,0.054916360691728824,0.05760957550390096,-0.0013212267745792428,1.000660395326296,0.5063007022658506,0.5204545454545455,0.0031769321324549536,0.24848484848484845,,,
gbm_last,fold1,21800,32.927837910263854,0.08360123789605223,0.10553723282599149,0.006829883587018526,0.9965792072951258,0.8400098630853313,0.5418348623853211,0.0050734112486045665,0.9636363636363635,,,
gbm_last,fold2,21800,-8.965953994284432,0.048740210899627726,0.05445888738661853,-0.0031073156713696815,1.0015524527808664,0.42667016717526224,0.5198165137614679,0.0016527444203990327,0.29696969696969694,,,
gbm_last,fold3,22040,2.2723346422907063,0.07993050670136033,0.054322139179758026,0.004610869593107192,0.9976919015442056,0.6959781696599533,0.519010889292196,0.002031211446760715,0.19999999999999998,,,
gbm_last,fold4,22040,19.188911506590973,0.054241369157607994,0.05202511072294695,0.0004144738915754509,0.9997927415761851,0.4894882302958469,0.5173774954627949,0.0012467780587347493,-0.04242424242424241,,,
gbm_last,fold5,21560,8.141232195290964,0.07873353693970034,0.06197162014270377,0.003030547675936801,0.9984835763917518,0.6674568932851531,0.5184137291280149,0.0039012024371812624,0.5757575757575757,,,
momentum_ols,fold1,21800,19.86082290588119,0.05073837018220431,0.07457764746758985,0.001916357203849528,0.9990413619045763,2.6293116754574126,0.5311926605504587,0.0028120510244332413,0.709090909090909,,,
momentum_ols,fold2,21800,-14.533885186981868,0.01759940642540783,0.0397922794026884,-0.0007115775791057821,1.0003557255192306,0.8864607408277668,0.49821100917431194,-8.971050888374168e-05,-0.41818181818181815,,,
momentum_ols,fold3,22040,-7.221129521078405,0.007773762446600246,0.03912214272034239,-0.00046740798861000243,1.0002336766919067,0.3602788664128788,0.5090290381125226,0.00028233593403801304,0.5030303030303029,,,
momentum_ols,fold4,22040,22.16016442438496,0.022965428197684337,0.0451538570929799,0.0011173036258664837,0.9994411920539065,1.0788308395692865,0.5186025408348457,0.0015316827685437962,-0.09090909090909088,,,
momentum_ols,fold5,21560,-18.974223408787356,-0.013693392878595091,-0.008027646067934085,-0.0014101676962132714,1.0007048354516,-0.6963411010947302,0.4956400742115028,-0.0014659519934269363,-0.6242424242424242,,,
momentum_raw,fold1,21800,-8.259687338451224,-0.050738370039549834,-0.07457764746758985,-1.0816863462251822,1.442805027100052,-0.05113023036420466,0.4643119266055046,-0.0028120510244332413,-0.709090909090909,,,
momentum_raw,fold2,21800,-13.636780098144449,-0.017599407641370215,-0.0397922794026884,-1.0063539822963516,1.416458252931004,-0.017829165290409787,0.47834509478345094,8.971050888374168e-05,0.41818181818181815,,,
momentum_raw,fold3,22040,-10.044488861458536,-0.007773762841268604,-0.03912214272034239,-1.0008416173715742,1.4145110877513736,-0.00783086793310862,0.47643644009690544,-0.00028233593403801304,-0.5030303030303029,,,
momentum_raw,fold4,22040,6.843336738946999,-0.02296542823472506,-0.0451538570929799,-1.0260488076631153,1.4233934128213168,-0.023142078703991313,0.48067709996806135,-0.0015316827685437962,0.09090909090909088,,,
momentum_raw,fold5,21560,-4.314703474517993,0.013693394830336464,0.008027646067934085,-0.8710333984767424,1.367857228835211,0.014445256153694578,0.502093217973765,0.0014659519934269363,0.6242424242424242,,,
ridge_lags,fold1,21800,16.261548321811617,0.053433416995632664,0.05438554660714251,0.002264347739169059,0.9988671844949312,1.9839184973425246,0.5084862385321101,0.0026475461622986595,0.8303030303030302,,,
ridge_lags,fold2,21800,-21.843297457390566,-0.020046800457209826,0.03404177374761731,-0.01042700593881385,1.0051999830575078,-0.2307806513205265,0.518348623853211,-0.0007130924470202277,-0.6606060606060605,,,
ridge_lags,fold3,22040,-0.4270977615724236,0.03872637647381344,0.03200209114407617,0.0006067262877177404,0.9996965908275781,3.409669095138221,0.5061705989110707,0.00219622605180751,0.9393939393939393,,,
ridge_lags,fold4,22040,33.943570118334506,0.06260229820752468,0.05461436703985762,0.0036309513075291067,0.9981828733716436,2.140572132672773,0.5117967332123412,0.004670557625858602,0.8909090909090909,,,
ridge_lags,fold5,21560,14.219187899621193,0.07074105214771564,0.0419062633603389,0.003721640858245445,0.9981374450153419,0.6553316453662132,0.5073747680890538,0.005642499539464353,0.3939393939393939,,,
ridge_last,fold1,21800,22.41232417483089,0.05324789598294096,0.043326167050380296,0.0013557950914002692,0.9993218725258644,4.596209554162619,0.5103211009174312,0.002531336295795456,0.6363636363636362,,,
ridge_last,fold2,21800,-28.22279436760951,-0.005607824984881495,0.01941077989893071,-0.003237656479497586,1.001617520054186,-0.0991191083721766,0.5128440366972477,-0.001853593162253874,-0.38181818181818183,,,
ridge_last,fold3,22040,1.739380162187141,0.017844444791430117,0.03712039043633664,0.00013173245811537448,0.9999341316016193,0.5858334456782655,0.503448275862069,0.0019694733131202483,0.8666666666666665,,,
ridge_last,fold4,22040,29.664312760871326,0.06649545352056936,0.045649450638973466,0.004980061130658853,0.9975068615650426,1.3536898707141622,0.5075317604355717,0.004033019213451661,0.8060606060606059,,,
ridge_last,fold5,21560,-16.10109069845501,0.03362224069017574,0.0251555798078666,0.0005537299661224626,0.9997230966792143,1.0267676045257488,0.5066326530612245,0.0005273013511364408,0.4545454545454545,,,
patchtst_vs_gbm_lags,incremental,109240,,,,,,,,,,0.37279036377137026,0.03710021038642755,0.07243332651132371
patchtst_vs_gbm_last,incremental,109240,,,,,,,,,,0.2775571763618004,0.040964765451312134,0.07940687515990968
patchtst_vs_momentum_ols,incremental,109240,,,,,,,,,,0.20223405473970507,0.0571527066907501,0.046131663331059086
patchtst_vs_momentum_raw,incremental,109240,,,,,,,,,,-0.2081884105232901,0.05665061212284007,0.03617759182935807
patchtst_vs_ridge_lags,incremental,109240,,,,,,,,,,0.2810171883620574,0.04801319748446101,0.06299553132982522
patchtst_vs_ridge_last,incremental,109240,,,,,,,,,,0.23940064554884688,0.051334518943924164,0.05976144490350424
