fold,seed,feature_set,loss,split,best_epoch,n_params,minutes,n,mae,rmse,huber,pred_std,actual_std,prediction_bias,pearson,pearson_p,spearman,spearman_p,directional_accuracy,n_above_cost,directional_accuracy_above_cost,calibration_slope,calibration_intercept,baseline_zero_mae,baseline_zero_rmse,rmse_vs_zero_ratio,r2_vs_zero,decile_spread,decile_spearman
1,0,F2,huber,val,5,740167,40.23,22040,0.010553904876614692,0.016018843918500843,8.876977969949246e-05,0.0022366973617316517,0.015896970642397232,-0.0019741831188411193,0.07045827455895463,1.154644945818619e-25,0.08826223153863645,2.2703723663169326e-39,0.5222323049001815,14247,0.5305678388432652,0.500770976593143,0.0015539342204960807,0.01043928750479408,0.015937251225684464,1.0051196214241063,-0.010265453371739008,0.004284098802600056,0.9393939393939393
1,0,F2,huber,test,5,740167,40.23,21800,0.011983002688080604,0.018402399695031296,0.00011417595536003519,0.002351696766243358,0.018265249414392472,-0.001555486187332244,0.034001656303534744,5.128329283301118e-07,0.05790923716541667,1.1595607243279189e-17,0.5123394495412844,14427,0.5186802523047065,0.2640853794592686,0.0009807948061274147,0.011828840306063884,0.018281665322906652,1.006604123311095,-0.01325186106689813,0.0018738171202130616,0.8909090909090909
1,1,F2,huber,val,4,740167,31.52,22040,0.010527834715163725,0.015959700143541977,8.836463328985985e-05,0.002035343790061571,0.015896970642397232,-0.0003105082386508109,0.03462573341394788,2.7220100032386235e-07,0.040060370794941,2.6918761429608845e-09,0.5172867513611615,13625,0.5282201834862386,0.2704428953186089,0.0009101159561118317,0.01043928750479408,0.015937251225684464,1.0014085815389127,-0.0028191471797771595,0.001703159767203033,0.9515151515151514
1,1,F2,huber,test,4,740167,31.52,21800,0.011895534170281602,0.018322764550566067,0.0001130768810650194,0.002142055541337986,0.018265249414392472,0.00016619537815787917,0.03209772226507765,2.1359018864275967e-06,0.055967743953589416,1.3446970766055407e-16,0.5170642201834862,13788,0.5263272410791993,0.2736964058547893,0.0005170822045797495,0.011828840306063884,0.018281665322906652,1.0022481118067466,-0.004501277620188704,0.001560610020533204,0.9272727272727272
1,2,F2,huber,val,4,740167,31.92,22040,0.010601573682661082,0.016047233080998834,8.918545109128305e-05,0.0021680143840552995,0.015896970642397232,-0.0013096280654116067,0.023435435990709953,0.0005023953723993867,0.030152698377894832,7.562984489678782e-06,0.5071687840290381,13681,0.5077845186755354,0.17184039030185366,0.0011628444325957265,0.01043928750479408,0.015937251225684464,1.0069009300133966,-0.013849482861843176,0.0019637341974885203,0.6727272727272726
1,2,F2,huber,test,4,740167,31.92,21800,0.01191112283169214,0.018337145270995867,0.00011350753063609548,0.0021317231708460793,0.018265249414392472,-0.0009110519454153096,0.0352201911639657,1.9767117169301455e-07,0.05371595603228845,2.082333103088873e-15,0.5164678899082569,13191,0.5248275339246455,0.30177725927569105,0.000815753597530637,0.011828840306063884,0.018281665322906652,1.003034731634634,-0.0060786728653621225,0.0017485988792032003,0.8303030303030302
1,3,F2,huber,val,4,740167,31.92,22040,0.010566303332072249,0.0160327162919984,8.888510764090773e-05,0.0019468255122057807,0.015896970642397232,-0.0018819258297657752,0.048426352017045544,6.332355436641625e-13,0.0592310142305694,1.360983987376784e-18,0.5083938294010889,13316,0.5150195253829979,0.3954295295119366,0.0014287769756882202,0.01043928750479408,0.015937251225684464,1.0059900584462198,-0.012015997692628622,0.0030295498436316848,0.8909090909090909
1,3,F2,huber,test,4,740167,31.92,21800,0.011922997683923232,0.018354175151120995,0.00011352147484951699,0.0019856368204382623,0.018265249414392472,-0.0015363387555318141,0.04200215474921311,5.507173816217482e-10,0.07006577004571436,3.880631821472021e-25,0.5142660550458715,13182,0.5216962524654832,0.3863646284857659,0.001068887382384001,0.011828840306063884,0.018281665322906652,1.0039662594699996,-0.00794825015418299,0.0018900494906120002,0.8303030303030302
1,4,F2,huber,val,6,740167,39.91,22040,0.010575174629585366,0.015983179349903353,8.872976024000141e-05,0.0029364328682159064,0.015896970642397232,-0.0007562545063000706,0.06904626056521544,1.043157732902583e-24,0.08415609630516084,6.164842160421897e-36,0.5290834845735027,15631,0.5397607318789585,0.373795835434653,0.0009917904359252375,0.01043928750479408,0.015937251225684464,1.002881809640101,-0.005771924107004001,0.003404141200007871,0.9393939393939393
1,4,F2,huber,test,6,740167,39.91,21800,0.012013802274565314,0.018416954644928846,0.00011450730752989706,0.0029489056209337883,0.018265249414392472,-0.0003956210187116781,0.030519176901648924,6.578352902270466e-06,0.0457032056294175,1.4668990266940733e-11,0.5104587155963303,15426,0.514974718008557,0.18903296669564712,0.0007029320267299068,0.011828840306063884,0.018281665322906652,1.0074002734232683,-0.014855310893276297,0.002063134917989373,0.7333333333333332
