blend,fold,n,pearson,spearman,decile_spread,top_decile_net,r2_vs_zero
patchtst,1,21800,0.041859780339275,0.06986714363401637,0.0021080890491002135,0.0005555107916213548,-0.002441581247906832
gbm_lags,1,21800,0.10052768844267351,0.11025218577536018,0.006210456690898956,0.003520018394339783,0.010402750432159102
gbm_last,1,21800,0.08360123789605221,0.10553723282599149,0.0050734112486045665,0.0032927837910263855,0.006829883587018526
momentum_ols,1,21800,0.05073837018220429,0.07457764746758985,0.0028120510244332413,0.001986082290588119,0.001916357203849528
momentum_raw,1,21800,-0.05073837003954982,-0.07457764746758985,-0.0028120510244332413,-0.0008259687338451223,-1.0816863462251822
ridge_lags,1,21800,0.05343341699563267,0.05438554660714251,0.0026475461622986595,0.0016261548321811618,0.002264347739169059
ridge_last,1,21800,0.05324789598294096,0.043326167050380296,0.002531336295795456,0.002241232417483089,0.0013557950914002692
zsum:gbm_lags,1,21800,0.08886151498239173,0.10806408053084136,0.005500261105923086,0.00284065589652776,
ols:gbm_lags,1,21800,0.0598943974491738,0.08734205259772115,0.003300725483797261,0.0015186959518197725,0.004933729997293801
ols_nn:gbm_lags,1,21800,0.0598943974491738,0.08734205259772115,0.003300725483797261,0.0015186959518197725,0.004933729997293801
zsum:gbm_last,1,21800,0.08162290181734276,0.10854161351768173,0.005506685487541599,0.003166775571094004,
ols:gbm_last,1,21800,0.0728706581139584,0.10161613849395539,0.005122101214214827,0.00295025656994381,0.006558718866912838
ols_nn:gbm_last,1,21800,0.0728706581139584,0.10161613849395539,0.005122101214214827,0.00295025656994381,0.006558718866912838
zsum:momentum_ols,1,21800,0.06030000617374927,0.0853659689951663,0.003743190786955659,0.0025502866581665557,
ols:momentum_ols,1,21800,0.05705002500584515,0.08184279759797228,0.003452496834945223,0.0022343657296152054,0.004554956362356477
ols_nn:momentum_ols,1,21800,0.05705002500584515,0.08184279759797228,0.003452496834945223,0.0022343657296152054,0.004554956362356477
zsum:momentum_raw,1,21800,-0.01068350436112119,1.7938921895926474e-06,-0.00044485901712129964,-0.0008154650689055516,
ols:momentum_raw,1,21800,0.05705002511974807,0.08184280607249349,0.003452496834945223,0.0022343657296152054,0.004554956373422625
ols_nn:momentum_raw,1,21800,0.041859780339275,0.06986714363401637,0.0021080890491002135,0.0005555107916213548,0.00303742722088296
zsum:ridge_lags,1,21800,0.0611169705759251,0.07816324615654141,0.003816180462118868,0.002327022248967802,
ols:ridge_lags,1,21800,0.054372127751160994,0.07746172573947555,0.003333447855760857,0.0017779096798326806,0.004220375630407669
ols_nn:ridge_lags,1,21800,0.054372127751160994,0.07746172573947555,0.003333447855760857,0.0017779096798326806,0.004220375630407669
zsum:ridge_last,1,21800,0.061529183590627576,0.07479261622306674,0.0038045953606713973,0.0026731165789584937,
ols:ridge_last,1,21800,0.054612106590072644,0.07638159961942548,0.003734504069037889,0.002217718750760265,0.00418799250218449
ols_nn:ridge_last,1,21800,0.054612106590072644,0.07638159961942548,0.003734504069037889,0.002217718750760265,0.00418799250218449
ols_all,1,21800,0.05630562267340747,0.08164100460641162,0.0035459809987635734,0.002412767763901355,0.004144846344614317
ols_all_nn,1,21800,0.08607125635079343,0.11012460469608312,0.005780689765873447,0.003656666506227285,0.008404695087234848
ols_all_no_patchtst,1,21800,0.0708244387415182,0.08693563023931371,0.004947164534750625,0.0034561161473056472,0.006123067170608842
patchtst,2,21800,0.039619897137958146,0.06744374747621301,0.0028455835070500817,-0.0002746247745950231,-0.004738265547048481
gbm_lags,2,21800,0.02850960192353583,0.06394805936798764,0.0011220905978032098,-0.0017897688117249413,-0.010769377810952774
gbm_last,2,21800,0.04874021089962771,0.05445888738661853,0.0016527444203990327,-0.0008965953994284432,-0.0031073156713696815
momentum_ols,2,21800,0.017599406425407832,0.0397922794026884,-8.971050888374168e-05,-0.0014533885186981867,-0.0007115775791057821
momentum_raw,2,21800,-0.01759940764137022,-0.0397922794026884,8.971050888374168e-05,-0.001363678009814445,-1.0063539822963516
ridge_lags,2,21800,-0.020046800457209822,0.03404177374761731,-0.0007130924470202277,-0.0021843297457390565,-0.01042700593881385
ridge_last,2,21800,-0.0056078249848814914,0.01941077989893071,-0.001853593162253874,-0.0028222794367609508,-0.003237656479497586
zsum:gbm_lags,2,21800,0.04108118632802951,0.08051172170459141,0.002067263576924617,-0.0015099976605751205,
ols:gbm_lags,2,21800,0.034769846277324816,0.07531995978465715,0.0014225168734919194,-0.0019967209145039053,-0.013865361756657979
ols_nn:gbm_lags,2,21800,0.034769846277324816,0.07531995978465715,0.0014225168734919194,-0.0019967209145039053,-0.013865361756657979
zsum:gbm_last,2,21800,0.054766621886719574,0.08078009286598647,0.0026060393023709955,-0.0008266941950771287,
ols:gbm_last,2,21800,0.05532642104388132,0.07606861845558739,0.002406780925777489,-0.0009532935934761538,-0.00714820230221358
