section,model,pearson,spearman,r2_vs_zero,decile_spread,top_decile_net,n,p10_coverage,p50_coverage,p90_coverage,central80_coverage,pinball_p10,pinball_p50,pinball_p90,crps,nll,mean_interval_width,median_interval_width,base_rate,mean_pred,brier,log_loss,ece,mae,qlike,bias
13,studentt,0.047581582742072505,0.07681054386667024,-0.001562124743129445,0.0031228918745369216,0.0004079786349340654,,,,,,,,,,,,,,,,,,,,
13,multitask,0.046942705079598086,0.0770962941167658,-0.0023655496645695884,0.0027237267552296654,0.00024070369449129682,,,,,,,,,,,,,,,,,,,,
13,stage1_huber,0.05956834832835738,0.07732542015684123,0.002022072172527034,0.0038419377914172157,0.0010818943737640337,,,,,,,,,,,,,,,,,,,,
13,gbm_q50,0.0672514381397772,0.06392409585788242,0.002477332918691899,0.0024839949229375304,0.0008938009728453277,,,,,,,,,,,,,,,,,,,,
15,studentt,,,,,,109240.0,0.11049981691688027,0.5059685097034053,0.8973727572317832,0.786872940314903,0.0032024251100191063,0.00600487932011447,0.0031146489058215465,0.00868572488980172,-2.757157994288716,0.03583440329775847,0.03389129103076378,,,,,,,,
15,multitask,,,,,,109240.0,0.10847674844379349,0.49936836323690953,0.8958348590259978,0.7873581105822043,0.0031993456046717833,0.006009225371885644,0.0031091256647766494,0.008685874370793163,-2.7577317406795014,0.035873325512440046,0.03390336149494425,,,,,,,,
15,gbm_quantile,,,,,,109240.0,0.10795496155254486,0.4971988282680337,0.8938392530208715,0.7858842914683266,0.0030946992497104774,0.0059776036983842755,0.0029207496686060068,0.008531943512147807,-2.757104858357005,0.035644432729207295,0.03252347286929534,,,,,,,,
16,studentt,,,,,,109240.0,,,,,,,,,,,,0.46227572317832294,0.469633227620552,0.24916779998999747,0.6918391199969851,0.03131870638005737,,,
16,multitask,,,,,,109240.0,,,,,,,,,,,,0.46227572317832294,0.46460451911013184,0.2493775235046816,0.6923390009739293,0.033363756608192525,,,
16,gbm_clf,,,,,,109240.0,,,,,,,,,,,,0.46227572317832294,0.45996513322655713,0.2471459776087684,0.6874401760183638,0.01392577547977734,,,
17,multitask,0.4645387359278286,,,,,,,,,,,,,,,,,,,,,,0.006727299321799602,1.2416535642489126,
17,static_median,,,,,,,,,,,,,,,,,,,,,,,0.007695460272193348,1.8982709928813521,
18,MAE,0.27882435688634377,,,,,,,,,,,,,,,,,,,,,,,,0.0016502562848329076
18,MFE,0.3313432565114965,,,,,,,,,,,,,,,,,,,,,,,,-0.0014013590742845872
